"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC3";"SOIC127P600X175-8N";1;"LM358D";;;
2;"IC1";"MAX8C0";1;"MAX-8C-0";;;
3;"L2,L1";"R_0805_2012Metric";2;"INDUCTOR";;;
4;"C2,C1";"R_0805_2012Metric";2;"C";;;
5;"RX,PWR,TX";"LED_0805_2012Metric";3;"LED";;;
6;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
7;"R3,R2,R1";"R_0805_2012Metric";3;"R";;;
8;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
9;"IC2";"SOT230P700X180-4N";1;"TC1108-3.3VDBTR";;;
10;"ANT1";"SR4G053";1;"SR4G053";;;
